,c_i_child,c_i_parent,counts,p
615,7,16,23,0.023
616,7,17,23,0.023
617,7,18,16,0.016
618,7,19,20,0.02
619,7,20,17,0.017
620,7,21,17,0.017
621,7,22,19,0.019
622,7,23,15,0.015
623,7,24,24,0.024
624,7,25,14,0.014
625,7,26,13,0.013
626,7,27,12,0.012
627,7,28,18,0.018
628,7,29,14,0.014
629,7,30,8,0.008
630,7,31,17,0.017
631,7,32,7,0.007
632,7,33,13,0.013
633,7,34,9,0.009
634,7,35,10,0.01
635,7,36,11,0.011
636,7,37,12,0.012
637,7,38,12,0.012
638,7,39,14,0.014
639,7,40,7,0.007
640,7,41,9,0.009
641,7,42,7,0.007
642,7,43,6,0.006
643,7,44,3,0.003
644,7,45,6,0.006
645,7,46,8,0.008
646,7,47,5,0.005
647,7,48,10,0.01
648,7,49,8,0.008
649,7,50,8,0.008
650,7,51,10,0.01
651,7,52,6,0.006
652,7,53,5,0.005
653,7,54,5,0.005
654,7,55,4,0.004
655,7,56,4,0.004
656,7,57,5,0.005
657,7,58,3,0.003
658,7,59,4,0.004
659,7,60,6,0.006
660,7,61,3,0.003
661,7,62,2,0.002
662,7,63,1,0.001
663,7,64,5,0.005
664,7,65,1,0.001
665,7,66,2,0.002
666,7,67,1,0.001
667,7,68,2,0.002
668,7,69,3,0.003
669,7,70,0,0.0
670,7,71,3,0.003
671,7,72,4,0.004
672,7,73,3,0.003
673,7,74,0,0.0
674,7,75,2,0.002
675,7,76,1,0.001
676,7,77,0,0.0
677,7,78,2,0.002
678,7,79,2,0.002
679,7,80,1,0.001
680,7,81,1,0.001
681,7,82,1,0.001
682,7,83,1,0.001
683,7,84,1,0.001
684,7,85,2,0.002
685,7,86,0,0.0
686,7,87,0,0.0
687,7,88,0,0.0
688,7,89,0,0.0
689,7,90,0,0.0
690,7,91,0,0.0
691,7,92,0,0.0
692,7,93,0,0.0
693,7,94,0,0.0
694,7,95,1,0.001
695,7,96,0,0.0
696,7,97,0,0.0
697,7,98,0,0.0
698,7,99,0,0.0
699,7,100,0,0.0
700,8,1,28,0.028
701,8,2,37,0.037
702,8,3,24,0.024
703,8,4,30,0.03
704,8,5,33,0.033
705,8,6,35,0.035
706,8,7,37,0.037
707,8,8,20,0.02
708,8,9,30,0.03
709,8,10,22,0.022
710,8,11,27,0.027
711,8,12,19,0.019
712,8,13,31,0.031
713,8,14,21,0.021
714,8,15,21,0.021
715,8,16,21,0.021
716,8,17,18,0.018
717,8,18,26,0.026
718,8,19,20,0.02
719,8,20,22,0.022
720,8,21,19,0.019
721,8,22,13,0.013
722,8,23,20,0.02
723,8,24,20,0.02
724,8,25,18,0.018
725,8,26,14,0.014
726,8,27,16,0.016
727,8,28,14,0.014
728,8,29,9,0.009
729,8,30,15,0.015
730,8,31,12,0.012
731,8,32,14,0.014
732,8,33,8,0.008
733,8,34,13,0.013
734,8,35,11,0.011
735,8,36,11,0.011
736,8,37,6,0.006
737,8,38,14,0.014
738,8,39,9,0.009
739,8,40,15,0.015
740,8,41,7,0.007
741,8,42,18,0.018
742,8,43,4,0.004
743,8,44,7,0.007
744,8,45,7,0.007
745,8,46,9,0.009
746,8,47,7,0.007
747,8,48,14,0.014
748,8,49,8,0.008
749,8,50,7,0.007
750,8,51,5,0.005
